,year,estab,employment,payroll,industry
0,2012,17697,107873,1762626,Other personal care services
1,2013,18147,109816,1824825,Other personal care services
2,2014,19006,116833,2033885,Other personal care services
3,2015,19709,122906,2304123,Other personal care services
4,2016,20857,130698,2607050,Other personal care services
5,2017,21864,129721,2676883,Other personal care services
6,2018,23426,147233,3158346,Other personal care services
7,2019,24542,153619,3476349,Other personal care services
8,2020,24989,156787,2853615,Other personal care services
9,2021,26868,143837,4035553,Other personal care services
10,2022,29936,169601,5012604,Other personal care services
11,2023,31863,183545,5647267,Other personal care services
